module,testCaseId,preRequisites,title,text,steps,expectedResults,automationManual,priority,createdBy,risk,version,type
Registration,TC_001,Counter shift should be started for User,Normal Registration,Verify Normal registration,"1.Launch the application
2.Login to the application with valid credentials.
3.Click on Patient Service Tab and select Registration from the drop down.
4.Select Type of registration as “Normal”
5.Enter  the  Mandatory Details which are having asterisk(*)symbol and click on the “Register” button.
6.Enter Payment details by selecting payment mode as CARD/CASH etc
7.Click on submit button",Valid UHID should get generate with details and should be able to take the print of that receipt,Automation,P2,Sumitha,High,V7,Function 
Registration,TC_002,Valid Mothers UHID,Baby of Registration,Verify Baby of Registration,"1.Launch the application
2.Login to the application with valid credentials.
3.Click on Patient Service Tab and select Registration from the drop down.
4.Select Type of registration as “Baby OF”
5.Enter  the  Mandatory Details which are having asterisk(*)symbol and click on the “Register” button.
6.Enter Payment details by selecting payment mode as CARD/CASH etc
7.Click on submit button",Valid UHID for Baby should get generate with details and should be able to take the print of that receipt,Automation,P2,Sumitha,High,V11,Function 
Registration,TC_003,,PRN Registration,Verify PRN Registration,"1.Launch the application
2.Login to the application with valid credentials.
3.Click on Patient Service Tab and select Registration from the drop down.
4.Select Registration type as ""PRN"" 
5.Enter  the  Mandatory Details which are having asterisk(*)symbol and click on the “Register” button.",Valid UHID should get generate,Automation,P2,Sumitha,High,V4,Function 
Registration,TC_004,Valid UHID /Any existing Patient details,Update details,"Verify ""Update details"" feature by updating existing Patient details","1.Launch the application
2.Login to the application with valid credentials.
3.Click on Patient Service Tab and select Registration from the drop down.
4.Click on patient search link
5.Enter valid UHID or patient details like first name ,last name and gender for search and click on search button
6.Right click on UHID click on Update details and do some changes like change title or marital status.
7.Click on Update record.",Details should get update Successfully,Automation,P2,Sumitha,High,V1,Function 
Registration,TC_005,PRN/ERN Number,Conversion from PRN/ERN Reg to UHID,Verify Conversion from PRN/ERN Reg to UHID,"1.Launch the application
2.Login to the application with valid credentials.
3.Click on Patient Service Tab and select Registration from the drop down.
4.Click on patient search link
5.Enter input values like PRN/ERN and click on search button
6.Right click on PRN/ERN and click on convert to UHID link 
7.Enter mandatory Details which are having asterisk(*)symbol and click on convert to UHID button
8.Enter Payment details by selecting payment mode as CARD/CASH etc
9.Click on submit button",Should get convert successfully from PRN/ERN Reg to UHID,Automation,P2,Sumitha,High,V4,Function 
Registration,TC_006,Valid old UHID,OLD to New UHID conversion,Verify OLD to New UHID conversion,"1.Launch the application
2.Login to the application with valid credentials.
3.Click on Patient Service Tab and select Registration from the drop down.
4.Select Already have UHID in legacy data as ""Yes"".
5.Enter  the  Mandatory Details which are having asterisk(*)symbol and click on the “Register” button.
6.Enter Payment details by selecting payment mode as CARD/CASH etc
7.Click on submit button",Should get convert successfully from OLD to New UHID,Automation,P2,Sumitha,High,V12,Function 
Registration,TC_007,Valid UHID /Any existing Patient details,Patient Search,"Verify ""Patient Search"" functionality","1.Launch the application
2.Login to the application with valid credentials.
3.Click on Patient Service Tab and select Registration from the drop down.
4.Click on patient search link
5.Enter input values for UHID/First name and last name & gender and click on search button",Searched patient details should be displayed,Automation,P2,Sumitha,High,V2,Function 
Registration,TC_008,Valid From and to Date,OP Search,Verify OP Search Functionality,"1.Launch the application
2.Login to the application with valid credentials.
3.Click on Patient Service Tab and select Registration from the drop down.
4.Click on OP Search link
5.Enter the input values like Uhid/From date and To date/Location click on report
6.Click on Export to Excel button (if required)",Consultation report should get generate,Automation,P2,Sumitha,High,V3,Function 
Registration,TC_009,Valid UHID /Any existing Patient details,Regularization of Quick Registration,"Verify ""Regularization of Quick Registration""","1.Launch the application
2.Login to the application with valid credentials.
3.Click on Patient Service Tab and select Registration from the drop down.
4.Click on patient search link
5.Enter input values UHID/First name and last name & gender for search and click on search button
6.Right click on Quick Registration UHID and click on Regularize UHID link 
7.Click on Regularize UHID button
8.Select payment mode and complete the registration",,Automation,P2,Sumitha,High,V13,Function 
Registration,TC_010,Employee ID,Corporate Registration,"Verify ""Corporate  Registration""","1.Launch the application
2.Login to the application with valid credentials.
3.Click on Patient Service Tab and select Registration from the drop down.
4.Select Type of registration as “Corporate Health Care”       
5. Enter Employee Id of any associate with respective Title.                                   
6.Click on Get Details button. 
7. Check Yes for International patients and enter the mandatory  fields which are having asterisk(*)symbol.
8.Enter mandatory Details which are having asterisk(*)symbol and click on Register button
9.Enter Payment details by selecting payment mode as CARD/CASH etc
10.Click on submit button",Corporate registration ID should generate successfully,Automation,P2,Sumitha,High,V5,Function 
